,FBS_%,FBS_grad,cell_count,cell_count_total,count_volume_ul,date,fMLP_grad,fMLP_nM,format,membrane_size,time_point_hr,total_cells_added,total_volume_ul,frac_migrated
38,10.0,0.0,6539.0,3583372.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,27400.0,0.1990762222222222
39,10.0,1.0,13206.0,6153996.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,23300.0,0.3418886666666667
40,10.0,1.0,11428.0,5005464.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,21900.0,0.27808133333333335
41,10.0,1.0,11812.0,5409896.0,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,22900.0,0.3005497777777778
42,10.0,1.0,10148.0,4471208.8,50.0,20201202.0,0.0,0.0,6-well,24 mm,1.5,18000000.0,23030.0,0.24840048888888888
43,10.0,0.0,,6771795.0,50.0,20201203.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.21161859375
44,10.0,0.0,,7513448.0,50.0,20201203.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.23479525
45,10.0,0.0,,11300000.0,50.0,20201204.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.353125
46,10.0,0.0,,6679476.0,50.0,20201204.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.208733625
47,10.0,0.0,,8509400.0,50.0,20201205.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.26591875
48,10.0,0.0,,7248872.0,50.0,20201205.0,0.0,0.0,ECM,NA,9.0,32000000.0,,0.22652725
