,rowlabels,collabels,s0,s1,c0,c1,a0,a1,num0,num1,numTot,date
451,F08_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.789224063774604,11.785193138608957,-0.263620945965915,2.282903672812109,-3.0186708014330463,16.958148864036446,192.07142857142858,158.3939393939394,885.52,2022-04-06
452,F09_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.982660174996319,12.859793186515912,0.05938270258687832,1.8117290073727326,3.8873017451367673,10.715957045583409,170.07142857142858,165.5151515151515,547.7,2022-04-06
453,F10_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,13.112181791355527,14.599887359601846,2.129665969327771,0.8411242424503838,7.400936094224761,5.329958836267565,17.5,8.06060606060606,89.86,2022-04-06
454,F11_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.410855672258402,11.78740159132219,-0.09688789589491882,2.142048441970235,-5.040463348752041,12.84896969856348,187.64285714285714,143.4848484848485,867.0,2022-04-06
455,F12_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.027732707720103,11.335194887142018,1.1310763537222723,2.675785393520345,6.7778044263109365,17.269172655223187,102.14285714285714,77.54545454545455,370.62,2022-04-06
456,G01_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.149860056134388,11.473266023506127,0.4923403112244759,2.691302912899043,-0.8953846013171045,13.3610946204072,135.64285714285714,106.21212121212122,898.46,2022-04-06
457,G02_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.092109325552407,12.910883836063604,0.1794027553302142,3.0615313735933807,-1.8984989121852323,17.877127266479377,166.78571428571428,154.45454545454547,773.36,2022-04-06
458,G03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.963744806427743,13.482846656028313,0.15440618927669716,2.0090476593427704,1.1094068485294173,11.720361495317533,138.21428571428572,108.60606060606061,439.94,2022-04-06
459,G04_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.088414204182099,12.7399669026725,0.7270396346003017,3.2820592254650127,7.272978776223496,19.402459188057534,157.14285714285714,137.84848484848484,966.34,2022-04-06
460,G05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,12.257356357134592,13.093634954486257,0.16718521119546698,3.241533278896024,-1.4566590078591162,19.94101285012431,199.14285714285714,174.96969696969697,835.96,2022-04-06
461,G06_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.519332705236051,12.86541190924062,-0.7881655826495629,1.4494630590910451,-3.079905136337942,10.276405715511785,146.92857142857142,132.3939393939394,489.5,2022-04-06
462,G07_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.000620751453486,12.92281076532942,0.724049960199316,3.2033112349537336,5.4237018996161765,18.08759009042066,154.35714285714286,161.27272727272728,954.36,2022-04-06
463,G08_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.324444647373438,12.961756013123045,-0.48654041748566634,3.2294094037880123,-3.637542978154542,19.648398781288066,135.71428571428572,120.27272727272727,665.66,2022-04-06
464,G09_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.056822753499075,12.960432630033196,1.0657299607079,1.2897885951192147,8.380084719430329,8.726680754194604,109.85714285714286,77.33333333333333,378.94,2022-04-06
465,G10_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.540601352054127,12.632954004774028,0.3764445511259916,2.7451889556582074,3.7401740710613325,15.445850331955938,163.78571428571428,149.27272727272728,930.2,2022-04-06
466,G11_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.415981722444098,12.735042585813385,0.394583706562339,2.075916987296812,-3.525979561197218,12.415899987594727,97.57142857142857,55.54545454545455,426.58,2022-04-06
467,G12_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.9679113174027,12.369700136455451,1.1252118638963762,1.8928909144222168,4.778541737700806,14.335459504235075,34.5,17.636363636363637,95.36,2022-04-06
468,H01_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.386349520262796,11.222105759322503,0.1451667811312488,1.9588498073904232,0.6076370661082677,13.70929848163685,182.85714285714286,171.93939393939394,1083.46,2022-04-06
469,H02_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.80396344338233,12.568742188047514,0.1997416273867085,3.212149985082638,0.8049272454175735,22.424061791866905,218.92857142857142,176.75757575757575,831.76,2022-04-06
470,H03_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.010029000639742,12.00434355173993,-0.4972789632424748,1.8479354271980264,-3.2468255780204203,14.983509096915654,160.28571428571428,142.27272727272728,533.54,2022-04-06
471,H04_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,10.809323693650434,11.823487395085603,-0.04262034781125101,3.2057165113866115,-8.576129112063342,21.52087272936582,208.0,183.8181818181818,1099.06,2022-04-06
472,H05_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.199742887593235,11.995664121882927,-0.2012434117921797,2.9018757442679086,-1.4638202979671462,20.603403496598474,182.5,167.12121212121212,767.0,2022-04-06
473,H06_sgFLCN_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.98972874251107,13.513623222778014,-0.4772229062691098,2.8708872431380774,-1.974370924149781,19.430101281938434,154.92857142857142,136.63636363636363,567.16,2022-04-06
474,H07_sgCONTROL_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.277591115226434,13.196284991167287,-0.2872490617984622,3.0443508943235433,-1.0927196460471293,19.532268600520823,145.92857142857142,142.66666666666666,984.64,2022-04-06
475,H08_sgCONTROL-NEW_UncInitial_ExpGrad_UncRech_pR300_UncR500ms,tracking,11.667328054980338,13.01922206929063,0.7690240448855866,3.075160373062678,6.628056179772926,18.138076849124573,195.28571428571428,182.4848484848485,770.24,2022-04-06
