,cell,frame,x,y,z,celltype_x,position,acqtime,analysis_date,aqctime_sec,celltype_y,concentration,date,magnification,material,media,misc,scope,trial
76,76.0,0.0,660.0432457038808,443.42020408937447,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
77,77.0,0.0,329.4973313585775,464.57218159978544,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
78,78.0,0.0,316.9141914191419,471.80280528052805,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
79,79.0,0.0,313.02844570171305,478.97218293257896,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
80,80.0,0.0,627.062706270627,509.2409240924092,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
81,81.0,0.0,621.5939464668901,521.7432769892959,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
82,82.0,0.0,610.3010301030104,534.5067840117346,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
83,83.0,0.0,628.8086873203449,532.9287767486426,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
84,84.0,0.0,312.9386408028558,537.563144069509,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
85,85.0,0.0,624.1018387553041,539.2739273927393,0.0,HL-60KW_SC575_sgITGB2,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgITGB2,NA,20220208.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
