,Unnamed: 0,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr,y,y_corr,z,x_corr_,y_corr_
0,0,5.0,0.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,263.16587214276984,0.0,119.20792079207921,0.0,2.994123306950274,0.0,0.0
1,1,5.0,1.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,430.56958757100205,0.0,169.56511977728385,0.0,5.73357604356284,0.0,0.0
2,2,5.0,2.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,354.90596678715485,0.0,244.64351197024465,0.0,13.392795700724607,0.0,0.0
3,3,5.0,3.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,119.87580336981064,0.0,272.95032134792433,0.0,7.74063761753787,0.0,0.0
4,4,5.0,4.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,498.46153846153845,0.0,328.8042650418888,0.0,19.16520483608532,0.0,0.0
5,5,5.0,5.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,237.27508963520938,0.0,343.13125664725936,0.0,10.426025852863516,0.0,0.0
6,6,5.0,6.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,390.0031938677738,0.0,350.94219099329285,0.0,13.15681486719888,0.0,0.0
7,7,5.0,7.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,381.2247891455812,0.0,390.7884121745508,0.0,0.4940824383071218,0.0,0.0
8,8,5.0,8.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,435.12651265126516,0.0,395.5775577557756,0.0,11.077284453479983,0.0,0.0
9,9,5.0,9.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,602.517777550951,0.0,444.2448368548195,0.0,2.2899239457763234,0.0,0.0
10,10,5.0,10.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,243.3065181518152,0.0,445.85396039603967,0.0,12.073707753317082,0.0,0.0
11,11,5.0,11.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,571.2987769365171,0.0,487.10541642399534,0.0,1.8769581626356957,0.0,0.0
12,12,5.0,12.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,6.9480632273753695,0.0,488.4227896473858,0.0,2.774894434638844,0.0,0.0
13,13,5.0,13.0,dHL60,1.0mgml,20190116,0.0,0.0,66,20xair,collagen,Rio,2.0,147.37796167676467,0.0,494.93719521205855,0.0,8.875046381160377,0.0,0.0
