,cell,celltype,frame,Vx ($\mu$m/sec),Vy ($\mu$m/sec),Vz ($\mu$m/sec),speed ($\mu$m/sec),trial,date,position,concentration,material,persistence,activity ($\mu$m/sec)
0,1.0,HL-60KW_SC575_sgFLCN,0.0,-0.03258532379694069,0.048970685111158714,-0.002279659255137645,0.058865339322280864,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.3186162733607286,0.21460658218626702
1,1.0,HL-60KW_SC575_sgFLCN,1.0,-0.040992411923323854,0.2572089764155303,-0.055899371678348096,0.266386139162777,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,-0.23327621404691218,0.044377888449207085
2,1.0,HL-60KW_SC575_sgFLCN,2.0,0.002665307712567255,-0.07092392900831897,0.016574614433910284,0.07288364298532646,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,1.113398691930119,0.016325646099679604
3,1.0,HL-60KW_SC575_sgFLCN,3.0,0.006385915962812305,-0.09416833920470348,0.01785940041538107,0.09605943063777292,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.29184660532312573,0.019642509515839207
4,1.0,HL-60KW_SC575_sgFLCN,4.0,0.014180166161775294,-0.0454898803880828,0.008428182359983556,0.04838843444451138,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.16791719494436677,0.016496323242085376
5,1.0,HL-60KW_SC575_sgFLCN,5.0,-0.001977803468216166,0.0011193027586112218,0.018794720487939523,0.01893161544729071,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.1601232494630412,0.01641112505184585
6,1.0,HL-60KW_SC575_sgFLCN,6.0,0.02111077014572326,-0.022507403121864892,-0.008495567181406352,0.03200660046255276,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.14718245483817077,0.014006833722062724
7,1.0,HL-60KW_SC575_sgFLCN,7.0,0.0017040420472729542,-0.002894103341348379,0.009197467002723888,0.009791475512683102,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.1438549428952503,0.013741305693149181
8,1.0,HL-60KW_SC575_sgFLCN,8.0,-0.008680669945380259,-0.004211509903547987,0.0012942883146737454,0.00973478446653093,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.13588055850757727,0.015901821967426278
9,1.0,HL-60KW_SC575_sgFLCN,9.0,-0.0015549144628333048,0.001807726393832354,-0.031419918865767706,0.031510267139983304,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.1335430539704725,0.016066461913017874
10,1.0,HL-60KW_SC575_sgFLCN,10.0,-0.013453589660950152,0.002442814644577614,-0.0014813517076595654,0.013753574845645536,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.1214959029949092,0.01803418505027691
11,1.0,HL-60KW_SC575_sgFLCN,11.0,-0.0064575078407074216,-0.010436012445752377,0.02357888567739508,0.02658145242586197,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.10999799636549988,0.02067372957464099
12,1.0,HL-60KW_SC575_sgFLCN,12.0,-0.01178105923865947,0.03974400237095021,0.008810007834959303,0.04237918497681313,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.0923586745602747,0.022422713733972338
13,1.0,HL-60KW_SC575_sgFLCN,13.0,0.010549335206096088,-0.023934468728803417,0.007100243607017849,0.02710278077798743,1.0,20220216.0,0.0,0.75mgml,HL-60KW_SC575_sgFLCN,0.10531375413258962,0.15783898594486007
