,cell,celltype,frame,Vx ($\mu$m/sec),Vy ($\mu$m/sec),speed ($\mu$m/sec),trial,date,position,concentration,material,persistence,activity ($\mu$m/sec)
0,0.0,HL-60KW_SC575_sgFLCN,0.0,0.005362424984538924,-0.0203376499290363,0.021032727030768916,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,0.14198244238845448,0.02856939904092596
1,0.0,HL-60KW_SC575_sgFLCN,1.0,0.012018716923690439,-0.0015254216536412456,0.012115133829768476,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,0.1456671596783603,0.028379759003550966
2,0.0,HL-60KW_SC575_sgFLCN,2.0,0.03671262935597497,0.0060003437226971105,0.03719974837306975,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,0.14071151653027578,0.028929401274378572
3,0.0,HL-60KW_SC575_sgFLCN,3.0,0.00034803282602145676,-0.03592895127377294,0.03593063687831234,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,0.15040092655156673,0.027746775171592852
4,0.0,HL-60KW_SC575_sgFLCN,4.0,-0.005005302451013449,-0.019347673062624318,0.0199846317345184,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,0.13564308799998331,0.029216578443557968
5,0.0,HL-60KW_SC575_sgFLCN,5.0,-0.014789744280549636,-0.013364955019834686,0.01993385458375412,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3417896408639942,0.060012454296807856
6,0.0,HL-60KW_SC575_sgFLCN,6.0,0.034232504883141245,0.07281579806332275,0.08046120082482541,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.35514940494262315,0.054944853142529344
7,0.0,HL-60KW_SC575_sgFLCN,7.0,-0.0063978248634157355,-0.012131016057270709,0.013714726157116676,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.35674632991501964,0.05711035402987681
8,0.0,HL-60KW_SC575_sgFLCN,8.0,0.018305572303379827,-0.05411968196085937,0.05713172457487025,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.4097525028298447,0.06320413791382395
9,0.0,HL-60KW_SC575_sgFLCN,9.0,-0.012730534833137123,0.1386149037851497,0.13919826891346038,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.40597156507631,0.06109953764795033
10,0.0,HL-60KW_SC575_sgFLCN,10.0,-0.03577495401362209,-0.025263781438872594,0.04379618690328986,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.4002938199331771,0.06159868467590547
11,0.0,HL-60KW_SC575_sgFLCN,11.0,0.04829935668464221,-0.05917641146830732,0.07638504781969248,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3948522977115818,0.06224330758792693
12,0.0,HL-60KW_SC575_sgFLCN,12.0,-0.013456086949940983,-0.0546132078369709,0.05624649985775605,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3886198491082329,0.06370547413191253
13,0.0,HL-60KW_SC575_sgFLCN,13.0,-0.043883585530985175,-0.08140656698001685,0.0924813398828502,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.43253047624661284,0.06363334590528212
14,0.0,HL-60KW_SC575_sgFLCN,14.0,0.06251107270804254,0.1240479239180748,0.13890832098724198,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.4207168976235325,0.06363984166900875
15,0.0,HL-60KW_SC575_sgFLCN,15.0,0.018764561858214773,-0.039182294497989885,0.043443768066984904,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.4160091030621715,0.0647396604504408
16,0.0,HL-60KW_SC575_sgFLCN,16.0,-0.028298617407525248,-0.009056766482509223,0.02971256916350711,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.41726773224489205,0.0784344383183074
17,0.0,HL-60KW_SC575_sgFLCN,17.0,-0.1073337517273823,0.06961600103782335,0.12793327112355707,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.4939986170162474,0.08124723599418521
18,0.0,HL-60KW_SC575_sgFLCN,18.0,0.11327544627627427,-0.11603104267996614,0.16215588054242505,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.36713409105060296,0.026893790177631917
19,0.0,HL-60KW_SC575_sgFLCN,19.0,-0.0350687331268792,0.05068994465691977,0.06163835277200279,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.35724693066029295,0.02322646039024449
20,0.0,HL-60KW_SC575_sgFLCN,20.0,0.03485022467025374,-0.01585308459451357,0.038286530930967955,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.34937919222351926,0.02187945437696254
21,0.0,HL-60KW_SC575_sgFLCN,21.0,0.006455942707536148,0.0046915114078853295,0.007980568622178958,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.34863845232573715,0.022521676142903888
22,0.0,HL-60KW_SC575_sgFLCN,22.0,0.031987631346692066,-0.002190713416239139,0.032062560478601315,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3485599459096127,0.022501464610921843
23,0.0,HL-60KW_SC575_sgFLCN,23.0,-0.0009293886514190793,0.031174835768598422,0.03118868622536817,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3488408272701799,0.021999486763588635
24,0.0,HL-60KW_SC575_sgFLCN,24.0,-0.018434624655276365,-0.02861390732945033,0.034038082772672354,1.0,20220208.0,0.0,,HL-60KW_SC575_sgFLCN,-0.3479634679753843,0.021593729226325825
