,cell,celltype,frame,Vx ($\mu$m/sec),Vy ($\mu$m/sec),speed ($\mu$m/sec),trial,date,position,concentration,material,persistence,activity ($\mu$m/sec)
24,0.0,HL-60KW_SC575_sgITGB2,24.0,-0.0014733242506252964,-0.004512055517536595,0.00474650706739314,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08600871526377867,0.003069063250357686
25,0.0,HL-60KW_SC575_sgITGB2,25.0,0.000559902854377962,0.0008150798189828852,0.0009888611215199848,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08549908939844086,0.004329815353968686
26,0.0,HL-60KW_SC575_sgITGB2,26.0,0.0015455812472633093,-0.005401949724618523,0.005618708234033704,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08486032600199563,0.0030785853063155337
27,0.0,HL-60KW_SC575_sgITGB2,27.0,5.338238741880256e-05,-0.0005727785893344143,0.0005752608031896948,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08458467914421844,0.003596481723217363
28,0.0,HL-60KW_SC575_sgITGB2,28.0,-0.002548428755919948,-0.0026938346008513747,0.00370826562974442,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08439046692590257,0.005845140360659522
29,0.0,HL-60KW_SC575_sgITGB2,29.0,0.006791983546181276,0.006504998325919568,0.009404575679519708,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08363671245632677,0.003761672441049333
30,0.0,HL-60KW_SC575_sgITGB2,30.0,0.0022819310916607567,-5.978858755426586e-05,0.0022827142138887617,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08408079005078979,0.0058210805473882495
31,0.0,HL-60KW_SC575_sgITGB2,31.0,-0.008600640765831714,-0.0017611410263832284,0.008779102419820405,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08419354682646571,0.0040160471752425505
32,0.0,HL-60KW_SC575_sgITGB2,32.0,-0.0013524855900603446,-0.003896867522563004,0.00412489924237274,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08543531562681624,0.0034408003932428584
33,0.0,HL-60KW_SC575_sgITGB2,33.0,0.0004965647577013973,-0.0027004359911598406,0.0027457114016120627,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.08729470545481206,0.003351287667123847
34,0.0,HL-60KW_SC575_sgITGB2,34.0,0.0026306978523952767,0.0017219113215666936,0.003144129416855591,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.0889958434477888,0.005367112338764179
35,0.0,HL-60KW_SC575_sgITGB2,35.0,0.003988654737538392,0.006399440543754528,0.007540703275446973,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.0911973826782918,0.003192993481679773
36,0.0,HL-60KW_SC575_sgITGB2,36.0,-0.0007024968141782513,-0.002767837447857128,0.002855595544136258,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.09246326897156411,0.003139411791882066
37,0.0,HL-60KW_SC575_sgITGB2,37.0,0.0014804986294497742,-0.0008055654307301078,0.0016854708110762536,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.09384964322690986,0.0037098879635072547
38,0.0,HL-60KW_SC575_sgITGB2,38.0,-0.0012952949238931903,-0.004065292025385977,0.004266660074523196,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.09531471239690703,0.0038488196416163823
39,0.0,HL-60KW_SC575_sgITGB2,39.0,-0.004369806350005471,0.0010496545150012083,0.00449410526550175,1.0,20220215.0,0.0,,HL-60KW_SC575_sgITGB2,-0.09692390375158852,0.0031493166503909287
