,cell,frame,x,y,z,celltype_x,position,acqtime,analysis_date,aqctime_sec,celltype_y,concentration,date,magnification,material,media,misc,scope,trial
20,20.0,0.0,215.31607006854532,537.7126174155877,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
21,21.0,0.0,191.35996358256514,547.7773984294981,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
22,22.0,0.0,133.3388110595292,553.0421921860236,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
23,23.0,0.0,161.81874944251183,561.7295513335117,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
24,24.0,0.0,206.55594014686022,567.0807731179622,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
25,25.0,0.0,316.81936850401456,581.4787448894143,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
26,26.0,0.0,106.71251225540964,600.8009169117748,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
27,27.0,0.0,484.27722772277224,611.8072607260726,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
28,28.0,0.0,642.816091954023,649.5931489700694,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
29,29.0,0.0,199.27886027036865,657.2801052347227,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
30,20.0,1.0,215.92830815928306,538.1633783816337,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
31,8.0,1.0,553.1611984727884,106.41622985827995,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
32,9.0,1.0,336.4425916275838,161.25007237565862,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
33,11.0,1.0,107.50580008495899,191.4191419141914,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
34,6.0,1.0,613.762240421573,38.29469366689755,0.0,HL-60KW_SC575_sgControl1,0,30sec,20220222.0,30sec,HL-60KW_SC575_sgControl1,NA,20220215.0,20xAir,NA,L-15_10%FBS,10ug/ml fibronectin,Rio_NikonTi,1.0
