,cell,frame,x,y,z,celltype_x,position,acqtime,aqctime_sec,date,celltype_y,material,concentration,scope,magnification,trial,media,misc,analysis_date
20,20.0,0.0,421.7256764536557,382.3762233736327,56.057626268772964,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
21,21.0,0.0,367.5929352742824,486.02372728020396,54.01975510483844,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
22,22.0,0.0,173.078785530967,640.8466902329185,55.079069152986094,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
23,23.0,0.0,425.75119720521275,380.6057662113361,56.65396832348971,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
24,24.0,0.0,609.3755291408445,552.0547597277252,55.5189351685542,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
25,25.0,0.0,175.40014861228258,639.8135317508134,55.923796017739015,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
26,26.0,0.0,391.590520431864,435.44054212716,61.646975678564296,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
27,27.0,0.0,454.99049167677214,652.6499283430713,63.61943545249814,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
28,28.0,0.0,184.92956606217615,12.535082037996546,64.72620629989382,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
29,29.0,0.0,406.53579997913545,290.6553187050109,68.42478575538985,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
30,30.0,0.0,417.0411298087945,574.9977073685176,67.88025285553111,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
31,31.0,0.0,9.373528026377766,435.1978332548281,70.43725219271897,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
32,32.0,0.0,612.8562176165802,3.14838802533103,73.36720631811097,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
33,33.0,0.0,271.93436960276335,264.81001727115716,72.07642643785083,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
34,34.0,0.0,26.331768134715023,324.63366256476684,72.22473081016857,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
35,35.0,0.0,64.33082732229335,421.2088116766568,73.10095560027642,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
36,36.0,0.0,111.86852331606217,134.6097797927461,74.86501706624321,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
37,37.0,0.0,205.76689224912764,161.639526276832,75.31110538093878,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
38,38.0,0.0,354.01433344632215,64.60340903588204,78.41246419358977,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
39,39.0,0.0,632.9472097171493,319.7676887794105,84.36303568132597,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
40,40.0,0.0,122.56007682687154,548.217795247454,98.38929905522704,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
41,41.0,0.0,132.3502831666466,553.8242559344499,98.28547692025342,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
42,42.0,0.0,396.4129135113591,24.66121960940614,92.3907852249877,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
43,43.0,0.0,462.7317560397028,59.23434671327798,91.13110485968232,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
44,44.0,0.0,453.9155952152498,496.24992004093906,95.12383920995569,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
45,45.0,0.0,473.1724295935991,503.38373691445486,95.77302265956399,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
46,46.0,0.0,128.4581656378722,548.7846259161778,98.47243002873353,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
47,47.0,0.0,283.6869548107824,90.78835180691283,101.3496663914252,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
48,48.0,0.0,191.0621761658031,344.55958549222794,101.44120859028482,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
49,49.0,0.0,191.302975953235,604.0711770957885,104.61537189106161,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
50,50.0,0.0,36.24419621828948,244.53266940313574,107.47593942408287,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
51,51.0,0.0,33.38547267572588,398.24274122592624,109.06139414805915,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
52,52.0,0.0,113.71358192474305,597.8085449757921,113.36445722764213,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
53,53.0,0.0,128.4267545925577,598.1040979745643,113.20639563371351,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
54,54.0,0.0,385.081383786047,186.75092897890826,110.21872619282752,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
55,55.0,0.0,200.48052816312887,230.91676416513457,110.52109779066637,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
56,56.0,0.0,180.06492416773298,396.16853013362424,112.54126004456859,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
57,57.0,0.0,33.069639773007644,396.48871206513695,109.71726137993812,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
58,58.0,0.0,181.65852929453965,519.3553208449581,111.56473830816594,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
59,59.0,0.0,120.36691167610554,598.0961561633932,113.10255815119837,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
60,60.0,0.0,409.0878101990728,325.8590128170166,114.30535860022069,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
61,61.0,0.0,181.26943005181346,518.272884283247,112.29945598807782,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
62,62.0,0.0,93.16062176165804,105.72538860103627,114.48585838710011,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
63,63.0,0.0,330.1350851221318,336.9448556624722,119.63503931262383,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
64,64.0,0.0,187.76086643638456,128.0134571099597,123.55538495045192,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
65,65.0,0.0,474.26597582037994,143.50172711571673,121.91357368892653,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
66,66.0,0.0,546.3161885504865,523.7899658789333,126.31670199526826,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
67,67.0,0.0,89.46232160712661,551.286246704845,126.13523339030941,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
68,68.0,0.0,417.4367182601234,517.2436553249067,126.4894993307784,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
69,69.0,0.0,291.9644452385206,476.9854386278363,130.75838046263925,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
70,70.0,0.0,325.22118486655586,236.2767621468374,130.85797624270788,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
71,71.0,0.0,76.67010412998641,276.6298606569747,129.62539792947544,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
72,72.0,0.0,247.70052616781138,438.92838494597737,134.45071095476237,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
73,73.0,0.0,99.07449125178343,596.4509649320418,135.52807187114146,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
74,74.0,0.0,204.4781643227239,622.0824080927707,139.4168984637505,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
75,75.0,0.0,525.3602655440415,8.63220531088083,137.5351861565844,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
76,76.0,0.0,153.2956765480336,140.6183640533424,141.1080200920176,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
77,77.0,0.0,68.34667922750825,466.2113361595227,142.32765787659622,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
78,78.0,0.0,404.28457552809886,156.0880829015544,146.7876249435388,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
79,79.0,0.0,376.1172279792746,500.1619170984456,144.39106515009956,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
80,80.0,0.0,406.174438687392,606.011322203032,147.58351629046456,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
81,81.0,0.0,336.9182868279698,99.18833483861766,153.07626856572332,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
82,82.0,0.0,122.52926501631164,179.6800038380349,147.47472061059557,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
83,83.0,0.0,245.7151429993267,485.7878867714645,149.23009917467795,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
84,84.0,0.0,525.8310342507233,46.682592019379584,145.70127728847518,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
85,85.0,0.0,599.7964470762398,366.080680977054,157.87445473350758,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
86,86.0,0.0,606.3192116224727,52.77862440312912,152.60463269556357,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
87,87.0,0.0,384.53567158230373,179.06536468712633,160.14352698685747,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
88,88.0,0.0,515.5440414507772,461.469411871648,164.1157041730295,HL-60AG++_SC575_sgControl1,0,60sec,60sec,20220225.0,HL-60AG++_SC575_sgControl1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220304.0
