,E_field,cell,celltype,concentration,date,fMLP,frame,framerate,magnification,material,scope,trial,x,x_corr,y,y_corr,z
38,5.0,38.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,74.19918462434478,0.0,100.34297547401799,0.0,75.63327595338983
39,5.0,39.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,56.5989932326566,0.0,163.14298096476315,0.0,75.42606094554465
40,5.0,40.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,61.560861968549794,0.0,357.8528441079402,0.0,76.14338730874259
41,5.0,41.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,41.30623588674657,0.0,392.98245614035085,0.0,74.72567892333574
42,5.0,42.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,110.47029702970298,0.0,87.63201320132012,0.0,77.9180933522722
43,5.0,43.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,164.86248624862486,0.0,322.9042904290429,0.0,77.73386750790655
44,5.0,44.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,203.9906742967875,0.0,406.7338843976141,0.0,77.9441364033864
45,5.0,45.0,dHL60,1.0mgml,20190116,0.0,4.0,66,20xair,collagen,Rio,3,9.058014235158456,0.0,651.1272814028391,0.0,85.0
46,5.0,0.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,46.53812749696022,0.0,54.78547854785479,0.0,7.783096469515188
47,5.0,1.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,550.5878712871287,0.0,71.20462046204621,0.0,1.8788952565714154
48,5.0,2.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,182.96757510802627,0.0,85.76094722874349,0.0,1.6700016474001214
49,5.0,3.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,376.3222476093763,0.0,93.68424021889368,0.0,3.443435586378122
50,5.0,4.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,182.96108680635507,0.0,135.71264103154502,0.0,8.77720593568227
51,5.0,5.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,94.91492838604249,0.0,228.99163702778043,0.0,2.6308661440206924
52,5.0,6.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,442.24422442244224,0.0,257.67048614973857,0.0,11.436273873548494
53,5.0,7.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,343.12008123889314,0.0,302.86874841330285,0.0,9.695446634664364
54,5.0,8.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,225.4466825992944,0.0,348.34414475930356,0.0,1.960596616911641
55,5.0,9.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,544.5274035600281,0.0,379.7219066168912,0.0,5.353684441058316
56,5.0,10.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,421.74663620208173,0.0,510.09393247017005,0.0,3.578191911447121
57,5.0,11.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,580.4645849200305,0.0,586.3544046712364,0.0,8.587577747471483
58,5.0,12.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,629.6710316192909,0.0,55.82880868732034,0.0,9.635718460766672
59,5.0,13.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,617.4736154934175,0.0,341.5660247343415,0.0,18.925402745813823
60,5.0,14.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,565.3008377760852,0.0,36.64889565879665,0.0,19.298665785966847
61,5.0,15.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,474.79468877120274,0.0,541.9065162330187,0.0,24.4817751309464
62,5.0,16.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,84.65468769099132,0.0,25.61056105610561,0.0,26.825201585349188
63,5.0,17.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,269.96699669966995,0.0,181.1815181518152,0.0,31.614796183068226
64,5.0,18.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,398.52636426433344,0.0,425.6504720239466,0.0,31.62997020302848
65,5.0,19.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,388.7970448420989,0.0,2.6644866321494534,0.0,32.31259063941991
66,5.0,20.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,320.5189484465688,0.0,199.34752095899245,0.0,35.8153386841284
67,5.0,21.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,502.51258702512587,0.0,574.0887957408879,0.0,30.717258200212854
68,5.0,22.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,382.31023102310235,0.0,161.3036303630363,0.0,40.10810431567619
69,5.0,23.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,111.91785845251191,0.0,627.9227922792279,0.0,36.45685908972647
70,5.0,24.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,451.505303202076,0.0,468.6720580454992,0.0,42.58395025479996
71,5.0,25.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,196.33820524909635,0.0,620.5091937765205,0.0,38.060172291109865
72,5.0,26.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,405.79057905790575,0.0,657.125712571257,0.0,42.18186223434587
73,5.0,27.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,598.9438943894389,0.0,427.6640997433077,0.0,46.127764467211776
74,5.0,28.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,470.3630363036304,0.0,515.1155115511551,0.0,51.45936078319379
75,5.0,29.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,496.46023425872,0.0,68.49155503785673,0.0,52.029292261504985
76,5.0,30.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,286.42904290429044,0.0,542.5940594059406,0.0,51.0245841728652
77,5.0,31.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,28.602860286028605,0.0,591.7926676388569,0.0,54.529495406597576
78,5.0,32.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,579.0830434394791,0.0,72.16127018107215,0.0,54.915333510598614
79,5.0,33.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,627.0716260815271,0.0,340.7456961912407,0.0,53.99568165885343
80,5.0,34.0,dHL60,1.0mgml,20190116,0.0,6.0,66,20xair,collagen,Rio,3,571.6534290791717,0.0,455.96054110905595,0.0,57.76299622433305
