,cell,frame,x,y,z,celltype_x,position,acqtime,aqctime_sec,date,celltype_y,material,concentration,scope,magnification,trial,media,misc,analysis_date
0,0.0,0.0,445.4848260547742,4.1450777202072535,5.633716807756313,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
1,1.0,0.0,522.0501648610457,6.13518605746585,3.1814038366598494,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
2,2.0,0.0,183.60020945871457,25.348638518355195,1.137286490387303,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
3,3.0,0.0,347.0936666834348,98.72226973187786,2.005692106175598,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
4,4.0,0.0,377.8224081380425,137.16903550886533,0.6288557475532887,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
5,5.0,0.0,424.23672628001555,138.3294333946181,2.5959042894933293,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
6,6.0,0.0,322.7239082161362,157.70725388601036,0.6415796038403003,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
7,7.0,0.0,116.81497334234437,209.73192160396485,0.25371695524822957,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
8,8.0,0.0,93.75471603199355,338.768298204135,2.1556615947241546,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
9,9.0,0.0,400.4548740812146,350.077318552436,4.774576481967666,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
10,10.0,0.0,15.761578926551438,383.02911046948543,1.248748669638247,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
11,11.0,0.0,523.406434510182,388.0738643210025,4.043168780543528,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
12,12.0,0.0,263.4939836423586,455.89431764655507,1.7338698631094314,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
13,13.0,0.0,340.6424039234158,468.7127677260259,2.7328941904179054,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
14,14.0,0.0,572.6833041338949,475.7427218846684,2.6818920630041747,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
15,15.0,0.0,500.168956972291,479.4556367264184,1.2563565066160571,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
16,16.0,0.0,651.2600094206311,541.6105914810578,4.099086084457353,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
17,17.0,0.0,326.01634117178156,558.5724724325761,6.911488765672221,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
18,18.0,0.0,244.25930287329248,605.2363008321557,0.8903814121999709,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
19,19.0,0.0,225.50605385379473,614.2883030416924,1.1435943055642726,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
20,20.0,0.0,636.0713749342945,648.1283322069535,5.967217034967772,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
21,21.0,0.0,624.4670228842832,656.7762305699482,3.3299463351074405,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
22,22.0,0.0,475.1868682578782,660.9933746708571,4.096611057346556,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
23,23.0,0.0,616.1775939949514,442.8391125282317,16.80416129536156,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
24,24.0,0.0,378.1070578350371,499.291065677076,24.510384925775824,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
25,25.0,0.0,392.4240788716177,501.11542890040295,21.16228917208579,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
26,26.0,0.0,143.1799011929148,633.3422271185857,13.827061309253775,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
27,27.0,0.0,88.08689950745219,649.0197019126207,11.23045548519429,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
28,28.0,0.0,369.6165435637379,355.9144526513063,13.901826511026792,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
29,29.0,0.0,81.08566171129728,407.41973754297607,15.048020450946051,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
30,30.0,0.0,385.82651932210706,500.18553000863557,24.856674854787727,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
31,31.0,0.0,573.9165276192149,513.6449459910424,13.422131635116695,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
32,32.0,0.0,143.87453136189393,633.0616285437466,15.16313611976083,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
33,33.0,0.0,91.21407537182688,3.0379841204756404,17.31839351182505,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
34,34.0,0.0,469.55958549222794,15.629762267601341,15.414442806299244,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
35,35.0,0.0,651.8955866025166,255.94467061435972,25.02917930435242,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
36,36.0,0.0,165.2817153843647,560.6038387590836,14.510975460129604,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
37,37.0,0.0,140.42628356099857,5.559854653118902,16.010334171267036,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
38,38.0,0.0,513.831562307895,37.27935364889786,17.60787775338521,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
39,39.0,0.0,591.5333119354394,230.56421660782246,18.497637712903334,HL-60AG++_SC575_sgFMNL1,0,60sec,60sec,20220302.0,HL-60AG++_SC575_sgFMNL1,collagen,1.5mgml,iSIM_xIon,20xAir,1.0,L-15_10%FBS,3D,20220308.0
