,Unnamed: 0,gene,log2fold_diff_mean,exp,pvalue
0,0,A1BG,-0.0841978851179342,tracketch_all,0.4529856785156456
1,1,A1CF,0.3658720203012584,tracketch_all,0.0039446666234944
2,2,A2M,-0.1992275383563165,tracketch_all,0.0696413068069668
3,3,A2ML1,-0.0235820935941331,tracketch_all,0.846098392999424
4,4,A3GALT2,-0.1648958295811748,tracketch_all,0.1356763610856048
5,5,A4GALT,-0.0232206058086501,tracketch_all,0.849800446933964
6,6,A4GNT,0.0833803759914291,tracketch_all,0.4454676971698117
7,7,AAAS,0.0545750173757682,tracketch_all,0.6168758452154364
8,8,AACS,-0.1075150820420379,tracketch_all,0.333254519025688
9,9,AADAC,0.0633871070441421,tracketch_all,0.5548594947525168
10,10,AADACL2,-0.0136380670859519,tracketch_all,0.9185621491461748
11,11,AADACL3,0.035080138874931,tracketch_all,0.7391519603168423
12,12,AADACL4,-0.0561489469773653,tracketch_all,0.6247310747164009
13,13,AADAT,-0.028113869796419,tracketch_all,0.8121045368232769
14,14,AAED1,-0.224589569543802,tracketch_all,0.0414387719464528
15,15,AAGAB,0.3660119581345681,tracketch_all,0.0041579364882342
16,16,AAK1,-0.1593707126457095,tracketch_all,0.1490815623149525
17,17,AAMDC,0.05030952965549,tracketch_all,0.6383911310050709
18,18,AAMP,-0.0468907314459014,tracketch_all,0.6818452303020626
19,19,AANAT,0.0465237328314215,tracketch_all,0.6635303527468989
20,20,AAR2,0.0118763896851648,tracketch_all,0.903822140900064
21,21,AARD,-0.0440335287207206,tracketch_all,0.7015231889198387
22,22,AARS,0.3991300178688595,tracketch_all,0.0021268689472227
23,23,AARS2,-0.3085411958579612,tracketch_all,0.0051903763892479
24,24,AARSD1,-0.2061614516289475,tracketch_all,0.0647553379285297
25,25,AASDH,-0.1259770015411267,tracketch_all,0.2543182410978413
26,26,AASDHPPT,0.0512516667687565,tracketch_all,0.6350653842168349
27,27,AASS,0.0250977724953628,tracketch_all,0.8061515384894538
28,28,AATF,-0.0373761508134323,tracketch_all,0.7494349684557352
29,29,AATK,0.0970118046006792,tracketch_all,0.3776313626987314
30,30,ABAT,0.13167139912583,tracketch_all,0.2365613630111062
31,31,ABCA1,-0.1873797984825403,tracketch_all,0.08911610037364
32,32,ABCA10,-0.1862156005515277,tracketch_all,0.0900400106897268
33,33,ABCA12,0.1123911798074335,tracketch_all,0.3106338249211812
34,34,ABCA13,-0.0935611530616334,tracketch_all,0.403792239396249
35,35,ABCA2,-0.1718199800611463,tracketch_all,0.121023021048764
36,36,ABCA3,-0.0592561477427282,tracketch_all,0.59985496677581
37,37,ABCA4,0.0966371231009109,tracketch_all,0.3790750879470997
38,38,ABCA5,-0.0252353686891954,tracketch_all,0.8378325582827919
39,39,ABCA6,0.1256666689703739,tracketch_all,0.2583190671663561
40,40,ABCA7,-0.2027741875364027,tracketch_all,0.0659446939259236
41,41,ABCA8,-0.1366164897517136,tracketch_all,0.2229200589246661
42,42,ABCA9,0.0064913380985201,tracketch_all,0.939267495258146
43,43,ABCB1,0.0284359126393134,tracketch_all,0.7854349216238106
44,44,ABCB10,-0.0781895650476769,tracketch_all,0.4865835037265629
45,45,ABCB11,0.0494918029601168,tracketch_all,0.6454195146978644
46,46,ABCB4,-0.029912298976033,tracketch_all,0.8034829932342928
47,47,ABCB5,-0.054660046497008,tracketch_all,0.6342698244662703
48,48,ABCB6,-0.1749152176142517,tracketch_all,0.1130152477265505
49,49,ABCB7,-0.2937096450070202,tracketch_all,0.0083228686166787
50,50,ABCB8,0.1340021788731396,tracketch_all,0.2317128013754594
51,51,ABCB9,-0.0282271890674787,tracketch_all,0.815413863289353
52,52,ABCC1,-0.2465870641410239,tracketch_all,0.0269461373111061
53,53,ABCC10,0.1493683642706542,tracketch_all,0.1842868301874894
54,54,ABCC11,-0.0877434077389691,tracketch_all,0.4318389269387481
55,55,ABCC12,0.0522138629283172,tracketch_all,0.6265955099940737
56,56,ABCC2,0.021889386815288,tracketch_all,0.832051244619126
57,57,ABCC3,0.0820933908083098,tracketch_all,0.4530088029930069
58,58,ABCC4,-0.1650590824750462,tracketch_all,0.1347537138712226
59,59,ABCC5,0.0289747432655105,tracketch_all,0.7820175513811556
60,60,ABCC6,-0.0810135857272289,tracketch_all,0.4692692942064585
61,61,ABCC8,-0.2225139930538342,tracketch_all,0.0457064039596489
62,62,ABCC9,0.0106409734413892,tracketch_all,0.9108582003647546
63,63,ABCD1,-0.1389375813719145,tracketch_all,0.2085400346643688
64,64,ABCD2,0.1099659623052701,tracketch_all,0.3212440735632376
65,65,ABCD3,-0.2520806752128409,tracketch_all,0.02200604938271
66,66,ABCD4,-0.001601449391142,tracketch_all,0.9990368849502356
67,67,ABCE1,-0.1868064548522493,tracketch_all,0.0941227440457021
68,68,ABCF1,-0.1987882175476027,tracketch_all,0.0726768316881514
69,69,ABCF2,-0.0096133655671826,tracketch_all,0.946664121678668
70,70,ABCF3,0.1693767531504003,tracketch_all,0.1351243856406906
71,71,ABCG1,0.0257472057371989,tracketch_all,0.8022591448441961
72,72,ABCG2,0.1777521866654604,tracketch_all,0.1198161759508447
73,73,ABCG4,0.0595992941249139,tracketch_all,0.5825229766701715
74,74,ABCG5,0.0205622677591029,tracketch_all,0.842293250533454
75,75,ABCG8,0.0387045988082249,tracketch_all,0.713065995266575
76,76,ABHD1,-0.0359299158871646,tracketch_all,0.759336811364845
77,77,ABHD10,-0.3281419984923663,tracketch_all,0.0029224286977873
78,78,ABHD11,-0.1425684558756429,tracketch_all,0.1993648638820877
