,gene,log2fold_diff_mean,exp,pvalue
108,ABRACL,0.030909227757806704,growth,0.9837250802786149
109,ABT1,-0.2813584420877862,growth,0.007186951537556702
110,ABTB1,0.07613491734449533,growth,0.44189214772907187
111,ABTB2,0.034175697845486436,growth,0.9401108585501468
112,ACAA1,0.09509243980526634,growth,0.2822557189237266
113,ACAA2,-0.08124743946854034,growth,0.085970782805824
114,ACACA,-1.7067875729647894,growth,9.716166958532225e-08
115,ACACB,-0.044510498979965764,growth,0.23888585879426547
116,ACAD10,0.08285596226514934,growth,0.37974686373061267
117,ACAD11,-0.1185498298180875,growth,0.02921699985265433
118,ACAD8,-0.055123237580178536,growth,0.18640874388956333
119,ACAD9,-0.37163972821479696,growth,1.7197615516602037e-05
120,ACADL,-0.002546202834350199,growth,0.5992882227571188
121,ACADM,0.0718554235469469,growth,0.48379467232445544
122,ACADS,-0.037486370550640295,growth,0.2811083367675935
123,ACADSB,-0.2565765350780923,growth,0.00226279812297257
124,ACADVL,-0.014266406873370233,growth,0.4756495124014483
125,ACAN,0.023578105278089467,growth,0.9259616904167842
126,ACAP1,0.0497566731271866,growth,0.7417187773039473
127,ACAP2,0.13958595706717766,growth,0.06974847612851943
128,ACAP3,0.0361489534529198,growth,0.9135919411002072
129,ACAT1,0.011883639673962299,growth,0.7719004953739143
130,ACAT2,-0.4034222003982271,growth,2.0403950612917674e-06
131,ACBD3,0.0080477818653824,growth,0.7249743238142912
132,ACBD4,0.02919239050992609,growth,0.9955904633683745
133,ACBD5,0.08148148310744353,growth,0.39359084705980774
134,ACBD6,-0.17965621392990969,growth,0.003504427098603403
135,ACBD7,0.042692827993126105,growth,0.8273314221956798
136,ACCS,0.031174752157230427,growth,0.9800920111294806
137,ACCSL,0.0275524327434091,growth,0.9723607599189069
138,ACD,-0.370660101055237,growth,0.0004737603008980313
139,ACE,0.1151574177809564,growth,0.15886224462208945
140,ACE2,0.031126666620283364,growth,0.9770025615216761
141,ACER1,0.08832468668277621,growth,0.3331588147811465
142,ACER2,0.0016889463132788347,growth,0.6516395132997079
143,ACER3,-0.04944759564834853,growth,0.20815614890783726
144,ACHE,-0.05203747238578136,growth,0.19674256758164946
145,ACIN1,0.004201075645970998,growth,0.6788748037395
146,ACKR1,0.0817758862831001,growth,0.3892153655933719
147,ACKR2,0.0103176428221516,growth,0.7530365572239239
148,ACKR3,-0.03159605500385029,growth,0.3254923704041862
149,ACKR4,0.052331077204267405,growth,0.7052897582029832
150,ACLY,-0.15311040214005336,growth,0.015685974261193596
151,ACMSD,0.026331511422056766,growth,0.9595609730527453
152,ACO1,0.02246759676370653,growth,0.9081439891248887
153,ACO2,-0.4266561053483378,growth,4.974677482768499e-05
154,ACOD1,0.0007157102300452642,growth,0.6397406094339415
155,ACOT1,0.04121418197398603,growth,0.8472622926393866
156,ACOT11,-0.016070470308855066,growth,0.45642034353548677
157,ACOT12,0.005376812732464933,growth,0.693859173584618
158,ACOT13,-0.059212391432830996,growth,0.162088983669018
159,ACOT2,0.008605977551983697,growth,0.7311739184655218
160,ACOT4,0.0320330569989024,growth,0.9700424824826012
161,ACOT6,0.05830195821292603,growth,0.6361328994805688
162,ACOT7,-0.0992273484998743,growth,0.053715731868575825
163,ACOT8,0.0620555171806443,growth,0.5904088120970554
164,ACOT9,-0.06286475639703697,growth,0.14572268339738798
165,ACOX1,-0.18050697514064504,growth,0.003427572217961413
166,ACOX2,-0.023620227230785634,growth,0.3891690194769797
167,ACOX3,-0.022819843689164596,growth,0.3978799518019822
168,ACOXL,-0.00605713367873507,growth,0.5615314894412713
169,ACP1,0.043390351231930226,growth,0.8207278293223134
170,ACP2,-0.029224915486519603,growth,0.3424083142406604
171,ACP5,-0.03756791701337737,growth,0.2803259910040925
172,ACP6,0.09351250812724331,growth,0.2929887799161388
173,ACPP,0.0296642922933765,growth,0.997249013068196
174,ACPT,-0.22679550713303895,growth,0.008027108494460982
175,ACR,-0.04421576279356773,growth,0.23724713007503942
176,ACRBP,0.03535666112226984,growth,0.9270898345623394
177,ACRV1,0.06852251531980473,growth,0.5201682121120863
178,ACSBG1,-0.048234141576683064,growth,0.21404618647976906
179,ACSBG2,0.049421697082718104,growth,0.7402301633642305
180,ACSF2,-0.043882693601232564,growth,0.2400493697875497
181,ACSF3,-0.05658403005704566,growth,0.17181972487798802
182,ACSL1,0.11702011310348504,growth,0.14889880121446258
183,ACSL3,0.10352182811418627,growth,0.2217486778361455
184,ACSL4,-0.26467466056202266,growth,0.00017877747203699293
185,ACSL5,0.03754931573310453,growth,0.8935209635289585
186,ACSL6,0.06502013301110077,growth,0.5603730308548055
187,ACSM1,0.023356488574537333,growth,0.9224846629090039
188,ACSM2A,0.0514016717968536,growth,0.717764539284382
189,ACSM2B,-0.0891285263397293,growth,0.07032182714074242
190,ACSM3,0.04389712053555043,growth,0.8145045272237039
191,ACSM4,0.1021051989540408,growth,0.23243325515543461
192,ACSM5,0.1138002559515567,growth,0.1646071226596608
193,ACSM6,0.0019978852746230674,growth,0.6485799894861357
194,ACSS1,-0.03766485917015537,growth,0.2808158801421417
195,ACSS2,-0.0080659895084194,growth,0.5412938796066837
196,ACSS3,-0.04249507209009554,growth,0.2505083377100617
197,ACTA1,-0.21894980189877278,growth,0.005720490458505433
198,ACTA2,0.08708277892981424,growth,0.3445472312349117
199,ACTB,0.005905155043617899,growth,0.6969064550278224
200,ACTBL2,0.13879426359600158,growth,0.07235270035841483
201,ACTC1,-0.043235800321033864,growth,0.24540229765001384
202,ACTG1,-0.05042678246573343,growth,0.20473576665342516
203,ACTG2,-0.04209878001486567,growth,0.25065981275294524
204,ACTL10,0.10838024267098471,growth,0.19637403336891232
205,ACTL6A,-0.9905551982316791,growth,1.5934513811992848e-05
206,ACTL6B,-0.00832341214459551,growth,0.5396964445970315
207,ACTL7A,-0.10859736843199953,growth,0.03905024662303687
208,ACTL7B,-0.17938244366766212,growth,0.010197020061309986
209,ACTL8,-0.03610944422171993,growth,0.29091311516878754
