,Unnamed: 0,gene,log2fold_diff_mean,exp,pvalue
0,0,A1BG,0.0275229985161034,tracketch_0_2hr,0.9247468780619588
1,1,A1CF,0.2565185868736495,tracketch_0_2hr,0.2865090681714936
2,2,A2M,-0.5667381622951094,tracketch_0_2hr,0.0291324692001151
3,3,A2ML1,0.2252017920732955,tracketch_0_2hr,0.3504722470078942
4,4,A3GALT2,0.03637138741581,tracketch_0_2hr,0.8909005133002423
5,5,A4GALT,6.364170423878157e-05,tracketch_0_2hr,0.9900186302643348
6,6,A4GNT,0.433328702088779,tracketch_0_2hr,0.0746682572679722
7,7,AAAS,0.4819019155447503,tracketch_0_2hr,0.0510284344111849
8,8,AACS,0.0739988792560376,tracketch_0_2hr,0.7691699609735579
9,9,AADAC,-0.3440398056416203,tracketch_0_2hr,0.1633361508598152
10,10,AADACL2,0.18877068454733,tracketch_0_2hr,0.4334796960530355
11,11,AADACL3,0.1552375518186718,tracketch_0_2hr,0.5249429308788482
12,12,AADACL4,-0.1783128462574918,tracketch_0_2hr,0.4552680061342049
13,13,AADAT,-0.0188700332035908,tracketch_0_2hr,0.921723109742794
14,14,AAED1,-0.3024170005392174,tracketch_0_2hr,0.2177568878029021
15,15,AAGAB,0.644952803455224,tracketch_0_2hr,0.009551963736933
16,16,AAK1,-0.3835887878637178,tracketch_0_2hr,0.1240379476559965
17,17,AAMDC,-0.091957878729172,tracketch_0_2hr,0.6930534118587469
18,18,AAMP,-0.1163238805606698,tracketch_0_2hr,0.6179187785767651
19,19,AANAT,0.1603329852141704,tracketch_0_2hr,0.5108242715097354
20,20,AAR2,0.0702423124496531,tracketch_0_2hr,0.7824886883169748
21,21,AARD,0.0875784443548515,tracketch_0_2hr,0.726702149784527
22,22,AARS,0.0640524002787569,tracketch_0_2hr,0.8005172304318705
23,23,AARS2,-0.8047510989863725,tracketch_0_2hr,0.0029508970669758
24,24,AARSD1,0.03830517192429,tracketch_0_2hr,0.8878954971833075
25,25,AASDH,0.1886627356431285,tracketch_0_2hr,0.4359973492353304
26,26,AASDHPPT,0.3425664649494817,tracketch_0_2hr,0.1606430237022492
27,27,AASS,0.0084006330930238,tracketch_0_2hr,0.9859904046049968
28,28,AATF,0.0508132847585752,tracketch_0_2hr,0.8419598888451068
29,29,AATK,-0.0470493667873725,tracketch_0_2hr,0.8309676005182409
30,30,ABAT,-0.2968600484583743,tracketch_0_2hr,0.2254673464161845
31,31,ABCA1,-0.320787578667445,tracketch_0_2hr,0.1952274285061359
32,32,ABCA10,-0.2286020720997592,tracketch_0_2hr,0.3443086021744101
33,33,ABCA12,0.3462327933612892,tracketch_0_2hr,0.1528799034640515
34,34,ABCA13,-0.2604061689206218,tracketch_0_2hr,0.2834994854560883
35,35,ABCA2,-0.3153246214670762,tracketch_0_2hr,0.2029690760153552
36,36,ABCA3,0.0484667319188286,tracketch_0_2hr,0.8527944837822357
37,37,ABCA4,0.112866511619499,tracketch_0_2hr,0.6457965019758555
38,38,ABCA5,0.0771203376192038,tracketch_0_2hr,0.7603757610977209
39,39,ABCA6,0.2262831982767638,tracketch_0_2hr,0.3482675515633336
40,40,ABCA7,-0.0236485801799439,tracketch_0_2hr,0.9081368963230088
41,41,ABCA8,0.0369616517305545,tracketch_0_2hr,0.8940705099321331
42,42,ABCA9,0.1732083059786885,tracketch_0_2hr,0.4738519243524502
43,43,ABCB1,0.0032808209962518,tracketch_0_2hr,0.9967522254516062
44,44,ABCB10,0.2524287371455748,tracketch_0_2hr,0.2946465523226035
45,45,ABCB11,-0.1301786306162816,tracketch_0_2hr,0.5809697502201805
46,46,ABCB4,0.0401993854389977,tracketch_0_2hr,0.8765225294350063
47,47,ABCB5,-0.1773267654477733,tracketch_0_2hr,0.4588347138630124
48,48,ABCB6,-0.210895220206625,tracketch_0_2hr,0.3791405749124003
49,49,ABCB7,-0.0803580904699242,tracketch_0_2hr,0.727579616822552
50,50,ABCB8,0.3999741688683962,tracketch_0_2hr,0.0993193387818035
51,51,ABCB9,0.0988680207366087,tracketch_0_2hr,0.6931159839739599
52,52,ABCC1,-0.3537984524240056,tracketch_0_2hr,0.1536233845597184
53,53,ABCC10,-0.3324525091240153,tracketch_0_2hr,0.1782807815820727
54,54,ABCC11,-0.1283878917599279,tracketch_0_2hr,0.585483784227445
55,55,ABCC12,0.1059103341869608,tracketch_0_2hr,0.6691364839203023
56,56,ABCC2,0.1172148557185325,tracketch_0_2hr,0.6379266010627835
57,57,ABCC3,-0.2319168587246499,tracketch_0_2hr,0.3383666802709197
58,58,ABCC4,-0.1356007515362328,tracketch_0_2hr,0.5667517916247515
59,59,ABCC5,0.2752862452580994,tracketch_0_2hr,0.254267717029657
60,60,ABCC6,-0.1511332582837465,tracketch_0_2hr,0.5230009605888464
61,61,ABCC8,-0.4631529370750707,tracketch_0_2hr,0.0698492327798794
62,62,ABCC9,0.2922876807988596,tracketch_0_2hr,0.2237494309362464
63,63,ABCD1,0.0783505911270487,tracketch_0_2hr,0.7528062840670068
64,64,ABCD2,0.09619718627465,tracketch_0_2hr,0.6975303301082298
65,65,ABCD3,-0.3057309377031492,tracketch_0_2hr,0.2136348039707448
66,66,ABCD4,-0.3339934398840655,tracketch_0_2hr,0.1773926267603933
67,67,ABCE1,-0.1777126736680616,tracketch_0_2hr,0.4578797118126583
68,68,ABCF1,-0.2407852454150334,tracketch_0_2hr,0.3206568284322639
69,69,ABCF2,0.1967718298153996,tracketch_0_2hr,0.4159882636476074
70,70,ABCF3,0.0705088324669172,tracketch_0_2hr,0.7823046641147802
