,cell,frame,x,y,celltype,position,aqctime,sampleset
63,19.0,1.0,160.72607260726073,468.34595224228303,sgLAMTOR1,0,30sec,1
64,32.0,1.0,1.327897495631916,210.89497185012618,sgLAMTOR1,0,30sec,1
65,33.0,1.0,580.5647231389805,673.3131646497983,sgLAMTOR1,0,30sec,1
66,13.0,2.0,105.52084334647057,323.823256112019,sgLAMTOR1,0,30sec,1
67,8.0,2.0,176.88650220954298,217.11137215416457,sgLAMTOR1,0,30sec,1
68,12.0,2.0,165.75831895116116,302.18911799436825,sgLAMTOR1,0,30sec,1
69,20.0,2.0,76.14521452145215,460.9284928492849,sgLAMTOR1,0,30sec,1
70,4.0,2.0,25.85837531121533,135.13596973732461,sgLAMTOR1,0,30sec,1
71,0.0,2.0,283.8212082077773,2.0375950638542113,sgLAMTOR1,0,30sec,1
72,29.0,2.0,414.4049699087556,569.3166375461076,sgLAMTOR1,0,30sec,1
73,9.0,2.0,336.6819608790147,237.73001690412946,sgLAMTOR1,0,30sec,1
74,6.0,2.0,597.4320400237904,145.002274078998,sgLAMTOR1,0,30sec,1
75,24.0,2.0,237.33942625031736,514.5925361766946,sgLAMTOR1,0,30sec,1
76,21.0,2.0,616.0624723889712,495.37693926873004,sgLAMTOR1,0,30sec,1
77,5.0,2.0,483.38658567051925,148.3360288220057,sgLAMTOR1,0,30sec,1
78,18.0,2.0,347.6822371033783,454.6540131191542,sgLAMTOR1,0,30sec,1
79,11.0,2.0,85.08359032624574,301.49506753954086,sgLAMTOR1,0,30sec,1
80,31.0,2.0,64.1914191419142,637.7540385617509,sgLAMTOR1,0,30sec,1
81,17.0,2.0,5.809887919485018,436.24481260007184,sgLAMTOR1,0,30sec,1
82,15.0,2.0,314.3265024176836,378.69982347071914,sgLAMTOR1,0,30sec,1
83,28.0,2.0,292.8615083730595,571.9533064417552,sgLAMTOR1,0,30sec,1
84,22.0,2.0,118.82041652441106,518.2627745533174,sgLAMTOR1,0,30sec,1
85,1.0,2.0,326.2578889467894,19.663018933472294,sgLAMTOR1,0,30sec,1
86,26.0,2.0,674.4321490972627,547.1170646476412,sgLAMTOR1,0,30sec,1
87,25.0,2.0,153.19679026726203,506.5683038892125,sgLAMTOR1,0,30sec,1
88,16.0,2.0,540.4227990366604,398.1482472571582,sgLAMTOR1,0,30sec,1
89,3.0,2.0,254.97894617047913,128.2273054891696,sgLAMTOR1,0,30sec,1
90,10.0,2.0,286.7901297901811,260.39774961952156,sgLAMTOR1,0,30sec,1
91,27.0,2.0,481.7055574904224,566.1011327263379,sgLAMTOR1,0,30sec,1
92,23.0,2.0,11.814062762208422,486.520855475378,sgLAMTOR1,0,30sec,1
93,30.0,2.0,538.4009368678803,643.3336882075304,sgLAMTOR1,0,30sec,1
94,19.0,2.0,153.41341240723057,480.6252198823943,sgLAMTOR1,0,30sec,1
95,7.0,2.0,666.8478612567139,189.26745615738045,sgLAMTOR1,0,30sec,1
96,2.0,2.0,181.34233984146076,85.87952253169242,sgLAMTOR1,0,30sec,1
97,14.0,2.0,620.5167013516639,324.5716928380736,sgLAMTOR1,0,30sec,1
98,32.0,2.0,inf,inf,sgLAMTOR1,0,30sec,1
99,33.0,2.0,inf,inf,sgLAMTOR1,0,30sec,1
100,13.0,3.0,105.40850003367684,323.9105543207382,sgLAMTOR1,0,30sec,1
101,28.0,3.0,292.85770682331395,571.7813886651824,sgLAMTOR1,0,30sec,1
102,15.0,3.0,313.79300092171377,378.3159397020783,sgLAMTOR1,0,30sec,1
103,21.0,3.0,616.7342963804577,495.4255261591733,sgLAMTOR1,0,30sec,1
104,0.0,3.0,283.0546989125142,2.3859763025482876,sgLAMTOR1,0,30sec,1
105,10.0,3.0,286.151666014059,261.061699390278,sgLAMTOR1,0,30sec,1
106,20.0,3.0,77.03059898750055,460.14963487298957,sgLAMTOR1,0,30sec,1
107,4.0,3.0,24.78507109970256,134.43751782585665,sgLAMTOR1,0,30sec,1
108,9.0,3.0,335.4513473325354,237.02535088673702,sgLAMTOR1,0,30sec,1
109,8.0,3.0,175.65153067030843,218.42210083077273,sgLAMTOR1,0,30sec,1
110,2.0,3.0,183.1648789878988,86.52365236523653,sgLAMTOR1,0,30sec,1
111,17.0,3.0,6.743604296735406,433.6087111895903,sgLAMTOR1,0,30sec,1
112,29.0,3.0,411.3401504084835,570.2753881945572,sgLAMTOR1,0,30sec,1
113,18.0,3.0,344.4470637539944,454.8116716433548,sgLAMTOR1,0,30sec,1
114,27.0,3.0,478.246211717946,562.9582313070017,sgLAMTOR1,0,30sec,1
115,16.0,3.0,535.9632838283828,400.790704070407,sgLAMTOR1,0,30sec,1
