,cell,frame,x,y,celltype,position,aqctime,sampleset
0,0.0,0.0,592.7119608512576,4.752475247524752,sgCtrl1,0,30sec,3
1,1.0,0.0,50.24069285909483,12.082991738664312,sgCtrl1,0,30sec,3
2,2.0,0.0,525.9875680819616,19.816828308597728,sgCtrl1,0,30sec,3
3,3.0,0.0,320.3175452680403,17.07251806261707,sgCtrl1,0,30sec,3
4,4.0,0.0,484.24603522299134,16.75866701714419,sgCtrl1,0,30sec,3
5,5.0,0.0,308.8591808489605,18.52443308847014,sgCtrl1,0,30sec,3
6,6.0,0.0,296.8827917274486,35.63528766669771,sgCtrl1,0,30sec,3
7,7.0,0.0,312.23945924004164,51.315719807274846,sgCtrl1,0,30sec,3
8,8.0,0.0,3.9453945394539454,54.095409540954094,sgCtrl1,0,30sec,3
9,9.0,0.0,55.413924625995534,54.28351218355368,sgCtrl1,0,30sec,3
10,10.0,0.0,591.9095820196545,67.4336707413758,sgCtrl1,0,30sec,3
11,11.0,0.0,57.53905862689273,73.64976841031742,sgCtrl1,0,30sec,3
12,12.0,0.0,136.45087585681645,74.83794533299483,sgCtrl1,0,30sec,3
13,13.0,0.0,530.7445030217307,77.26629805837726,sgCtrl1,0,30sec,3
14,14.0,0.0,668.9472318018319,79.44895613156821,sgCtrl1,0,30sec,3
15,15.0,0.0,290.13468914459014,86.73624119168674,sgCtrl1,0,30sec,3
16,16.0,0.0,476.4004784757952,116.4238257886924,sgCtrl1,0,30sec,3
17,17.0,0.0,87.17068238615768,115.88546137850778,sgCtrl1,0,30sec,3
18,18.0,0.0,225.84363699527847,118.00653749585484,sgCtrl1,0,30sec,3
19,19.0,0.0,393.57252556938863,127.90902852661503,sgCtrl1,0,30sec,3
20,20.0,0.0,602.1435476881021,129.17291729172916,sgCtrl1,0,30sec,3
21,21.0,0.0,666.1671572562661,130.27919008117027,sgCtrl1,0,30sec,3
22,22.0,0.0,342.3571304498871,141.06739621330553,sgCtrl1,0,30sec,3
23,23.0,0.0,38.54016469608126,141.39190618090936,sgCtrl1,0,30sec,3
24,24.0,0.0,458.3035339024508,155.29603064690602,sgCtrl1,0,30sec,3
25,25.0,0.0,31.373298101514333,153.99700741778358,sgCtrl1,0,30sec,3
26,26.0,0.0,225.63009664195118,160.9850671165771,sgCtrl1,0,30sec,3
27,27.0,0.0,22.59154486877259,163.53921106396353,sgCtrl1,0,30sec,3
28,28.0,0.0,284.8277351099596,168.5574164893125,sgCtrl1,0,30sec,3
29,29.0,0.0,341.7292278678417,167.6132448409676,sgCtrl1,0,30sec,3
30,30.0,0.0,425.0387283626321,172.55674547046542,sgCtrl1,0,30sec,3
31,31.0,0.0,487.7294204240568,175.72951539758293,sgCtrl1,0,30sec,3
32,32.0,0.0,151.0951095109511,178.04580458045805,sgCtrl1,0,30sec,3
33,33.0,0.0,99.0543613946887,183.98057422322543,sgCtrl1,0,30sec,3
34,34.0,0.0,604.5634193048935,188.477366255144,sgCtrl1,0,30sec,3
35,35.0,0.0,296.9474652383271,196.370719039117,sgCtrl1,0,30sec,3
36,36.0,0.0,210.15463991814028,197.57591479671984,sgCtrl1,0,30sec,3
37,37.0,0.0,191.45474713446447,202.284211823672,sgCtrl1,0,30sec,3
38,38.0,0.0,145.32501708320612,207.53114959073,sgCtrl1,0,30sec,3
39,39.0,0.0,57.673703878324346,215.89397034941587,sgCtrl1,0,30sec,3
40,40.0,0.0,442.5728162335884,227.98506924928301,sgCtrl1,0,30sec,3
41,41.0,0.0,96.8889782379253,242.81717511852708,sgCtrl1,0,30sec,3
42,42.0,0.0,350.9102910291029,257.7089708970897,sgCtrl1,0,30sec,3
43,43.0,0.0,344.7552774145339,279.23127218382217,sgCtrl1,0,30sec,3
44,44.0,0.0,618.9587068943115,309.09409838621656,sgCtrl1,0,30sec,3
45,45.0,0.0,113.93511691594692,308.31402289165084,sgCtrl1,0,30sec,3
46,46.0,0.0,357.71505722000774,310.05957738631,sgCtrl1,0,30sec,3
47,47.0,0.0,487.1990875558144,319.1928751698699,sgCtrl1,0,30sec,3
48,48.0,0.0,530.5366555612907,321.22690942079987,sgCtrl1,0,30sec,3
49,49.0,0.0,391.99058794768365,338.47940349590516,sgCtrl1,0,30sec,3
50,50.0,0.0,187.07920792079207,342.0778327832783,sgCtrl1,0,30sec,3
51,51.0,0.0,208.4784340503016,343.6022912636091,sgCtrl1,0,30sec,3
