,cell,frame,x,y,celltype,position,aqctime,sampleset
0,0.0,0.0,252.38095238095235,9.553276756247053,sgFLCN,0,30sec,2
1,1.0,0.0,266.6417585154742,11.12771654523943,sgFLCN,0,30sec,2
2,2.0,0.0,323.2088563187028,14.942439125802345,sgFLCN,0,30sec,2
3,3.0,0.0,565.6087347865221,53.668845145384104,sgFLCN,0,30sec,2
4,4.0,0.0,667.7787343951786,54.40522313100875,sgFLCN,0,30sec,2
5,5.0,0.0,47.59770713913496,77.07486538127498,sgFLCN,0,30sec,2
6,6.0,0.0,24.24558245298214,83.75258578489428,sgFLCN,0,30sec,2
7,7.0,0.0,1.9737896119709057,89.74334326636546,sgFLCN,0,30sec,2
8,8.0,0.0,448.46171057783744,90.14935391844269,sgFLCN,0,30sec,2
9,9.0,0.0,56.03083745874587,89.73287953795379,sgFLCN,0,30sec,2
10,10.0,0.0,634.6506919599523,90.75352913442605,sgFLCN,0,30sec,2
11,11.0,0.0,35.78820033397762,93.24549984878965,sgFLCN,0,30sec,2
12,12.0,0.0,401.7436610489136,99.5916540806623,sgFLCN,0,30sec,2
13,13.0,0.0,412.1730984979686,109.49689028308771,sgFLCN,0,30sec,2
14,14.0,0.0,335.75509275065434,140.65323773756685,sgFLCN,0,30sec,2
15,15.0,0.0,458.88120192772413,150.59999723821753,sgFLCN,0,30sec,2
16,16.0,0.0,175.89712861776093,168.91222263436717,sgFLCN,0,30sec,2
17,17.0,0.0,238.16323940086315,179.74422442244224,sgFLCN,0,30sec,2
18,18.0,0.0,96.22819424799623,203.1840326889832,sgFLCN,0,30sec,2
19,19.0,0.0,430.5471184568656,227.90422468541675,sgFLCN,0,30sec,2
20,20.0,0.0,101.10489309800545,251.6453819294973,sgFLCN,0,30sec,2
21,21.0,0.0,282.1294881165969,259.4192305136554,sgFLCN,0,30sec,2
22,22.0,0.0,591.6602094992107,263.6590615583297,sgFLCN,0,30sec,2
23,23.0,0.0,51.71275748264481,276.7725048366906,sgFLCN,0,30sec,2
24,24.0,0.0,412.05870587058706,311.1986198619862,sgFLCN,0,30sec,2
25,25.0,0.0,619.6746446298173,326.65471271536603,sgFLCN,0,30sec,2
26,26.0,0.0,91.63572607260726,340.3362211221122,sgFLCN,0,30sec,2
27,27.0,0.0,579.4902955999571,343.289130357079,sgFLCN,0,30sec,2
28,28.0,0.0,374.0585412253016,344.73892804127576,sgFLCN,0,30sec,2
29,29.0,0.0,293.3400081581192,350.6860236585456,sgFLCN,0,30sec,2
30,30.0,0.0,556.6609041856567,352.52239509665253,sgFLCN,0,30sec,2
31,31.0,0.0,419.09292491749176,364.0934405940594,sgFLCN,0,30sec,2
32,32.0,0.0,505.805741864509,384.37134035984246,sgFLCN,0,30sec,2
33,33.0,0.0,663.2891681652508,407.8808298366371,sgFLCN,0,30sec,2
34,34.0,0.0,42.73703388438391,421.1519794513388,sgFLCN,0,30sec,2
35,35.0,0.0,234.05432850977405,439.59634424980965,sgFLCN,0,30sec,2
36,36.0,0.0,271.4675194227497,442.5558083758686,sgFLCN,0,30sec,2
37,37.0,0.0,437.4545997313299,445.81322453853426,sgFLCN,0,30sec,2
38,38.0,0.0,311.5632442365116,448.4822108584485,sgFLCN,0,30sec,2
39,39.0,0.0,8.603816903429474,469.2696226144354,sgFLCN,0,30sec,2
40,40.0,0.0,609.4722292742094,483.0921553693831,sgFLCN,0,30sec,2
41,41.0,0.0,4.009064500920138,499.6608416602029,sgFLCN,0,30sec,2
